Entry Location,Entry,Enabled,Category,Description,Publisher,Image Path,Launch String,MD5,SHA-1,SHA-256
"HKLM\System\CurrentControlSet\Control\Session Manager\BootExecute","autocheck autochk *",enabled,"Boot Execute","Auto Check Utility","Microsoft Corporation","c:\windows\system32\autochk.exe","autocheck autochk *",b3415b9d6026f65e43089abed096c38c,195c2cf5427f77d63ced20d53564fae2c4533578,
"HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","Your Image File Name Here without a path",enabled,"Hijacks","Symbolic Debugger for Windows 2000","Microsoft Corporation","c:\windows\system32\ntsd.exe","ntsd -d",43c797488aed00ae5170b0531f8fc6e9,3d71239f992fe678a138cafa0b1929c74fffd351,
"HKLM\System\CurrentControlSet\Services","6to4",enabled,"Services","Enables Help and Support Center to run Officescan on this computer.","","c:\windows\system32\hpmdp093.dll","C:\WINDOWS\System32\hpmdp093.dll",345f794f02adf2005d878c50c19cb0aa,758abbadc07685549680bdaf15cfc766a8e713ef,
"HKLM\System\CurrentControlSet\Services","ALG",enabled,"Services","Provides support for 3rd party protocol plug-ins for Internet Connection Sharing and the Windows Firewall.","Microsoft Corporation","c:\windows\system32\alg.exe","%SystemRoot%\System32\alg.exe",f1958fbf86d5c004cf19a5951a9514b7,ed44c251c53a9f0cce20b30e50067f2a89222858,
"HKLM\System\CurrentControlSet\Services","AppMgmt",enabled,"Services","Provides software installation services such as Assign, Publish, and Remove.","Microsoft Corporation","c:\windows\system32\appmgmts.dll","%SystemRoot%\System32\appmgmts.dll",9c3c12975c97119412802b181fbeeffe,a9da3430734d5ff3727734170a6d784192c0985c,
"HKLM\System\CurrentControlSet\Services","AudioSrv",enabled,"Services","Manages audio devices for Windows-based programs. If this service is stopped, audio devices and effects will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\audiosrv.dll","%SystemRoot%\System32\audiosrv.dll",db66db626e4882ebef55f136f12c1829,3cdcdd75f9ba63c8c8df782a6d8f5e8d5423af80,
"HKLM\System\CurrentControlSet\Services","BITS",enabled,"Services","Transfers data between clients and servers in the background. If BITS is disabled, features such as Windows Update will not work correctly.","Microsoft Corporation","c:\windows\system32\qmgr.dll","C:\WINDOWS\system32\qmgr.dll",2c69ec7e5a311334d10dd95f338fccea,95b543b69be291b1fe592a7680d375c9e84f4397,
"HKLM\System\CurrentControlSet\Services","Browser",enabled,"Services","Maintains an updated list of computers on the network and supplies this list to computers designated as browsers. If this service is stopped, this list will not be updated or maintained. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\browser.dll","%SystemRoot%\System32\browser.dll",e3cfccdda4edd1d0dc9168b2e18f27b8,4268ccfaecf2f9ecced07455e9efc2934518e273,
"HKLM\System\CurrentControlSet\Services","CiSvc",enabled,"Services","Indexes contents and properties of files on local and remote computers; provides rapid access to files through flexible querying language.","Microsoft Corporation","c:\windows\system32\cisvc.exe","%SystemRoot%\system32\cisvc.exe",3192bd04d032a9c4a85a3278c268a13a,a068e9534050fce39d74994c1fd5f8371dbdbb97,
"HKLM\System\CurrentControlSet\Services","COMSysApp",enabled,"Services","Manages the configuration and tracking of Component Object Model (COM)+-based components. If the service is stopped, most COM+-based components will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\dllhost.exe","C:\WINDOWS\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}",dd87db7387b9eb441c5674888a0d840c,6cb068d8bb51ce82828d08e441e92e9b3b9cc0ab,
