IDS:
----
https://github.com/stamparm/maltrail

zeus video:
-----------
https://app.box.com/s/ztskgm1nn32c3qtdbph7keg9kzl57d8h

ServiceDlls
------------

KeyName	KeyValue
-------	--------
AeLookupSvc	aelupsvc.dll
AppIDSvc	appidsvc.dll
Appinfo	appinfo.dll
AppMgmt	appmgmts.dll
AudioEndpointBuilder	Audiosrv.dll
AudioSrv	Audiosrv.dll
AxInstSV	AxInstSV.dll
BDESVC	bdesvc.dll
BFE	bfe.dll
BITS	qmgr.dll
Browser	browser.dll
bthserv	bthserv.dll
CertPropSvc	certprop.dll
CryptSvc	cryptsvc.dll
CscService	cscsvc.dll
DcomLaunch	rpcss.dll
defragsvc	defragsvc.dll
Dhcp	dhcpcore.dll
Dhcp	dhcpcore.dll
Dnscache	dnsrslvr.dll
dot3svc	dot3svc.dll
DPS	dps.dll
EapHost	eapsvc.dll
eventlog	wevtsvc.dll
EventSystem	es.dll
fdPHost	fdPHost.dll
FDResPub	fdrespub.dll
FontCache	FntCache.dll
gpsvc	gpsvc.dll
hidserv	hidserv.dll
hkmsvc	kmsvc.dll
HomeGroupListener	ListSvc.dll
HomeGroupProvider	provsvc.dll
IKEEXT	ikeext.dll
IPBusEnum	ipbusenum.dll
iphlpsvc	iphlpsvc.dll
KtmRm	msdtckrm.dll
LanmanServer	srvsvc.dll
LanmanWorkstation	wkssvc.dll
lltdsvc	lltdsvc.dll
lmhosts	lmhsvc.dll
Mcx2Svc	Mcx2Svc.dll
MMCSS	mmcss.dll
MpsSvc	mpssvc.dll
MSiSCSI	iscsiexe.dll
napagent	qagentRT.dll
Netman	netman.dll
netprofm	netprofm.dll
NlaSvc	nlasvc.dll
nsi	nsisvc.dll
p2pimsvc	pnrpsvc.dll
p2psvc	p2psvc.dll
PcaSvc	pcasvc.dll
PeerDistSvc	peerdistsvc.dll
pla	pla.dll
PlugPlay	umpnpmgr.dll
PNRPAutoReg	pnrpauto.dll
PNRPsvc	pnrpsvc.dll
PolicyAgent	ipsecsvc.dll
Power	umpo.dll
ProfSvc	profsvc.dll
QWAVE	qwave.dll
RasAuto	rasauto.dll
RasMan	rasmans.dll
RemoteAccess	mprdim.dll
RemoteRegistry	regsvc.dll
RpcEptMapper	RpcEpMap.dll
RpcSs	rpcss.dll
SCardSvr	SCardSvr.dll
Schedule	schedsvc.dll
SCPolicySvc	certprop.dll
SDRSVC	SDRSVC.dll
seclogon	seclogon.dll
SENS	sens.dll
SensrSvc	sensrsvc.dll
SessionEnv	sessenv.dll
SharedAccess	ipnathlp.dll
ShellHWDetection	shsvcs.dll
sppuinotify	sppuinotify.dll
SSDPSRV	ssdpsrv.dll
SstpSvc	sstpsvc.dll
stisvc	wiaservc.dll
StorSvc	storsvc.dll
swprv	swprv.dll
SysMain	sysmain.dll
TabletInputService	TabSvc.dll
TapiSrv	tapisrv.dll
TBS	tbssvc.dll
TermService	termsrv.dll
Themes	themeservice.dll
THREADORDER	mmcss.dll
TrkWks	trkwks.dll
TrkWks	trkwks.dll
UmRdpService	umrdp.dll
upnphost	upnphost.dll
UxSms	uxsms.dll
W32Time	w32time.dll
WbioSrvc	wbiosrvc.dll
wcncsvc	wcncsvc.dll
WcsPlugInService	WcsPlugInService.dll
WdiServiceHost	wdi.dll
WdiSystemHost	wdi.dll
WebClient	webclnt.dll
Wecsvc	wecsvc.dll
wercplsupport	wercplsupport.dll
WerSvc	WerSvc.dll
WinDefend	mpsvc.dll
WinHttpAutoProxySvc	winhttp.dll
Winmgmt	WMIsvc.dll
WinRM	WsmSvc.dll
Wlansvc	wlansvc.dll
WPCSvc	wpcsvc.dll
WPDBusEnum	wpdbusenum.dll
wscsvc	wscsvc.dll
wuauserv	wuaueng.dll
wudfsvc	WUDFSvc.dll
WwanSvc	wwansvc.dll
